Year,Month,Cropname,Biomass (t/ha),STL (t/ha),LAI,CHT (m)
1998,1,corn,-999,-999,-999,-999
1998,2,corn,-999,-999,-999,-999
1998,3,corn,-999,-999,-999,-999
1998,4,corn,-999,-999,-999,-999
1998,5,corn,-999,-999,-999,-999
1998,6,corn,-999,-999,-999,-999
1998,7,corn,-999,-999,-999,-999
1998,8,corn,-999,-999,-999,-999
1998,9,corn,-999,-999,-999,-999
1998,10,corn,-999,-999,-999,-999
1998,11,corn,-999,-999,-999,-999
1998,12,corn,-999,-999,-999,-999
1999,1,corn,-999,-999,-999,-999
1999,2,corn,-999,-999,-999,-999
1999,3,corn,-999,-999,-999,-999
1999,4,corn,-999,-999,-999,-999
1999,5,corn,-999,-999,-999,-999
1999,6,corn,-999,-999,-999,-999
1999,7,corn,-999,-999,-999,-999
1999,8,corn,-999,-999,-999,-999
1999,9,corn,-999,-999,-999,-999
1999,10,corn,-999,-999,-999,-999
1999,11,corn,-999,-999,-999,-999
1999,12,corn,-999,-999,-999,-999
2000,1,corn,-999,-999,-999,-999
2000,2,corn,-999,-999,-999,-999
2000,3,corn,-999,-999,-999,-999
2000,4,corn,-999,-999,-999,-999
2000,5,corn,-999,-999,-999,-999
2000,6,corn,-999,-999,-999,-999
2000,7,corn,-999,-999,-999,-999
2000,8,corn,-999,-999,-999,-999
2000,9,corn,-999,-999,-999,-999
2000,10,corn,-999,-999,-999,-999
2000,11,corn,-999,-999,-999,-999
2000,12,corn,-999,-999,-999,-999
2001,1,corn,-999,-999,-999,-999
2001,2,corn,-999,-999,-999,-999
2001,3,corn,-999,-999,-999,-999
2001,4,corn,-999,-999,-999,-999
2001,5,corn,-999,-999,-999,-999
2001,6,corn,-999,-999,-999,-999
2001,7,corn,-999,-999,-999,-999
2001,8,corn,-999,-999,-999,-999
2001,9,corn,-999,-999,-999,-999
2001,10,corn,-999,-999,-999,-999
2001,11,corn,-999,-999,-999,-999
2001,12,corn,-999,-999,-999,-999
2002,1,corn,-999,-999,-999,-999
2002,2,corn,-999,-999,-999,-999
2002,3,corn,-999,-999,-999,-999
2002,4,corn,-999,-999,-999,-999
2002,5,corn,-999,-999,-999,-999
2002,6,corn,-999,-999,-999,-999
2002,7,corn,-999,-999,-999,-999
2002,8,corn,-999,-999,-999,-999
2002,9,corn,-999,-999,-999,-999
2002,10,corn,-999,-999,-999,-999
2002,11,corn,-999,-999,-999,-999
2002,12,corn,-999,-999,-999,-999
2003,1,corn,-999,-999,-999,-999
2003,2,corn,-999,-999,-999,-999
2003,3,corn,-999,-999,-999,-999
2003,4,corn,-999,-999,-999,-999
2003,5,corn,-999,-999,-999,-999
2003,6,corn,-999,-999,-999,-999
2003,7,corn,-999,-999,-999,-999
2003,8,corn,-999,-999,-999,-999
2003,9,corn,-999,-999,-999,-999
2003,10,corn,-999,-999,-999,-999
2003,11,corn,-999,-999,-999,-999
2003,12,corn,-999,-999,-999,-999
2004,1,corn,-999,-999,-999,-999
2004,2,corn,-999,-999,-999,-999
2004,3,corn,-999,-999,-999,-999
2004,4,corn,-999,-999,-999,-999
2004,5,corn,-999,-999,-999,-999
2004,6,corn,-999,-999,-999,-999
2004,7,corn,-999,-999,-999,-999
2004,8,corn,-999,-999,-999,-999
2004,9,corn,-999,-999,-999,-999
2004,10,corn,-999,-999,-999,-999
2004,11,corn,-999,-999,-999,-999
2004,12,corn,-999,-999,-999,-999
2005,1,corn,-999,-999,-999,-999
2005,2,corn,-999,-999,-999,-999
2005,3,corn,-999,-999,-999,-999
2005,4,corn,-999,-999,-999,-999
2005,5,corn,-999,-999,-999,-999
2005,6,corn,-999,-999,-999,-999
2005,7,corn,-999,-999,-999,-999
2005,8,corn,-999,-999,-999,-999
2005,9,corn,-999,-999,-999,-999
2005,10,corn,-999,-999,-999,-999
2005,11,corn,-999,-999,-999,-999
2005,12,corn,-999,-999,-999,-999
2006,1,corn,-999,-999,-999,-999
2006,2,corn,-999,-999,-999,-999
2006,3,corn,-999,-999,-999,-999
2006,4,corn,-999,-999,-999,-999
2006,5,corn,-999,-999,-999,-999
2006,6,corn,-999,-999,-999,-999
2006,7,corn,-999,-999,-999,-999
2006,8,corn,-999,-999,-999,-999
2006,9,corn,-999,-999,-999,-999
2006,10,corn,-999,-999,-999,-999
2006,11,corn,-999,-999,-999,-999
2006,12,corn,-999,-999,-999,-999
2007,1,corn,-999,-999,-999,-999
2007,2,corn,-999,-999,-999,-999
2007,3,corn,-999,-999,-999,-999
2007,4,corn,-999,-999,-999,-999
2007,5,corn,-999,-999,-999,-999
2007,6,corn,-999,-999,-999,-999
2007,7,corn,-999,-999,-999,-999
2007,8,corn,-999,-999,-999,-999
2007,9,corn,-999,-999,-999,-999
2007,10,corn,-999,-999,-999,-999
2007,11,corn,-999,-999,-999,-999
2007,12,corn,-999,-999,-999,-999
2008,1,corn,-999,-999,-999,-999
2008,2,corn,-999,-999,-999,-999
2008,3,corn,-999,-999,-999,-999
2008,4,corn,-999,-999,-999,-999
2008,5,corn,-999,-999,-999,-999
2008,6,corn,-999,-999,-999,-999
2008,7,corn,-999,-999,-999,-999
2008,8,corn,-999,-999,-999,-999
2008,9,corn,-999,-999,-999,-999
2008,10,corn,-999,-999,-999,-999
2008,11,corn,-999,-999,-999,-999
2008,12,corn,-999,-999,-999,-999
2009,1,corn,-999,-999,-999,-999
2009,2,corn,-999,-999,-999,-999
2009,3,corn,-999,-999,-999,-999
2009,4,corn,-999,-999,-999,-999
2009,5,corn,-999,-999,-999,-999
2009,6,corn,-999,-999,-999,-999
2009,7,corn,-999,-999,-999,-999
2009,8,corn,-999,-999,-999,-999
2009,9,corn,-999,-999,-999,-999
2009,10,corn,-999,-999,-999,-999
2009,11,corn,-999,-999,-999,-999
2009,12,corn,-999,-999,-999,-999
2010,1,corn,-999,-999,-999,-999
2010,2,corn,-999,-999,-999,-999
2010,3,corn,-999,-999,-999,-999
2010,4,corn,-999,-999,-999,-999
2010,5,corn,-999,-999,-999,-999
2010,6,corn,-999,-999,-999,-999
2010,7,corn,-999,-999,-999,-999
2010,8,corn,-999,-999,-999,-999
2010,9,corn,-999,-999,-999,-999
2010,10,corn,-999,-999,-999,-999
2010,11,corn,-999,-999,-999,-999
2010,12,corn,-999,-999,-999,-999
