Year,Flow(m3/s),Sed(tons),TN(kg),TP(kg),MinN(kg),OrgN(kg),MinP(kg),OrgP(kg),Tpest(g)
1998,0.003134,19.252143,-999,-999,-999,-999,-999,-999,-999
1999,0.0001468,0,-999,-999,-999,-999,-999,-999,-999
2000,0.002075,23.82669,-999,-999,-999,-999,-999,-999,-999
2001,0.004339,68.15232,-999,-999,-999,-999,-999,-999,-999
2002,0.002862,30.309147,-999,-999,-999,-999,-999,-999,-999
2003,0.001651,6.961653,-999,-999,-999,-999,-999,-999,-999
2004,0.006468,31.378464,-999,-999,-999,-999,-999,-999,-999
2005,0.00179,17.175627,-999,-999,-999,-999,-999,-999,-999
2006,0.0005737,5.067054,-999,-999,-999,-999,-999,-999,-999
2007,0.007267,13.555035,-999,-999,-999,-999,-999,-999,-999
